assistant_evaluation,0.727,0.743,0.711,0.817,0.668
balance_scale,0.597,0.603,0.520,0.773,0.738
breast_cancer_wisconsin,0.930,0.915,0.918,0.941,0.961
car,0.827,0.835,0.704,0.978,0.493
chess,0.935,0.933,0.933,0.953,0.770
credit_approval,0.781,0.522,0.523,0.836,0.580
dermatology,0.895,0.905,0.916,0.943,0.966
dna_promoter,0.736,0.704,0.732,0.751,0.808
hayes_roth,0.691,0.703,0.710,0.830,0.555
heart_disease,0.505,0.509,0.519,0.491,0.530
house_votes,0.924,0.924,0.905,0.943,0.885
lecturer_evaluation,0.606,0.267,0.297,0.612,0.469
lenses,0.674,0.678,0.660,0.828,0.665
lung_cancer,0.382,0.387,0.396,0.420,0.562
lymphography,0.775,0.758,0.766,0.761,0.749
mammographic_mass,0.765,0.484,0.484,0.825,0.798
mushroom,0.999,1.000,1.000,1.000,0.774
nursery,0.903,0.916,0.853,0.995,0.672
photo_evaluation,0.697,0.696,0.666,0.793,0.697
primary_tumor,0.323,0.338,0.340,0.354,0.263
solar_flare,0.683,0.666,0.671,0.705,0.514
soybean_small,0.979,0.974,0.983,0.974,0.978
tic_tac_toe,0.787,0.790,0.732,0.873,0.569
titanic,0.528,0.148,0.148,0.528,0.426
zoo,0.948,0.959,0.959,0.945,0.874
